datetime,target,hour,day_of_week
2025-01-01 00:00:00,92,0,2
2025-01-01 01:00:00,95,1,2
2025-01-01 02:00:00,68,2,2
2025-01-01 03:00:00,53,3,2
2025-01-01 04:00:00,40,4,2
2025-01-01 05:00:00,79,5,2
2025-01-01 06:00:00,110,6,2
2025-01-01 07:00:00,244,7,2
2025-01-01 08:00:00,318,8,2
2025-01-01 09:00:00,450,9,2
2025-01-01 10:00:00,285,10,2
2025-01-01 11:00:00,449,11,2
2025-01-01 12:00:00,420,12,2
2025-01-01 13:00:00,331,13,2
2025-01-01 14:00:00,344,14,2
2025-01-01 15:00:00,365,15,2
2025-01-01 16:00:00,353,16,2
2025-01-01 17:00:00,355,17,2
2025-01-01 18:00:00,288,18,2
2025-01-01 19:00:00,219,19,2
2025-01-01 20:00:00,240,20,2
2025-01-01 21:00:00,157,21,2
2025-01-01 22:00:00,131,22,2
2025-01-01 23:00:00,115,23,2
2025-01-02 00:00:00,92,0,3
2025-01-02 01:00:00,83,1,3
2025-01-02 02:00:00,47,2,3
2025-01-02 03:00:00,48,3,3
2025-01-02 04:00:00,50,4,3
2025-01-02 05:00:00,69,5,3
2025-01-02 06:00:00,152,6,3
2025-01-02 07:00:00,152,7,3
2025-01-02 08:00:00,211,8,3
2025-01-02 09:00:00,482,9,3
2025-01-02 10:00:00,486,10,3
2025-01-02 11:00:00,394,11,3
2025-01-02 12:00:00,294,12,3
2025-01-02 13:00:00,288,13,3
2025-01-02 14:00:00,448,14,3
2025-01-02 15:00:00,412,15,3
2025-01-02 16:00:00,294,16,3
2025-01-02 17:00:00,332,17,3
2025-01-02 18:00:00,205,18,3
2025-01-02 19:00:00,296,19,3
2025-01-02 20:00:00,183,20,3
2025-01-02 21:00:00,209,21,3
2025-01-02 22:00:00,126,22,3
2025-01-02 23:00:00,120,23,3
2025-01-03 00:00:00,82,0,4
2025-01-03 01:00:00,49,1,4
2025-01-03 02:00:00,62,2,4
2025-01-03 03:00:00,47,3,4
2025-01-03 04:00:00,51,4,4
2025-01-03 05:00:00,99,5,4
2025-01-03 06:00:00,127,6,4
2025-01-03 07:00:00,200,7,4
2025-01-03 08:00:00,181,8,4
2025-01-03 09:00:00,262,9,4
2025-01-03 10:00:00,233,10,4
2025-01-03 11:00:00,251,11,4
2025-01-03 12:00:00,261,12,4
2025-01-03 13:00:00,276,13,4
2025-01-03 14:00:00,407,14,4
2025-01-03 15:00:00,329,15,4
2025-01-03 16:00:00,278,16,4
2025-01-03 17:00:00,287,17,4
2025-01-03 18:00:00,188,18,4
2025-01-03 19:00:00,236,19,4
2025-01-03 20:00:00,134,20,4
2025-01-03 21:00:00,207,21,4
2025-01-03 22:00:00,140,22,4
2025-01-03 23:00:00,82,23,4
2025-01-04 00:00:00,63,0,5
2025-01-04 01:00:00,89,1,5
2025-01-04 02:00:00,67,2,5
2025-01-04 03:00:00,68,3,5
2025-01-04 04:00:00,52,4,5
2025-01-04 05:00:00,33,5,5
2025-01-04 06:00:00,55,6,5
2025-01-04 07:00:00,69,7,5
2025-01-04 08:00:00,128,8,5
2025-01-04 09:00:00,129,9,5
2025-01-04 10:00:00,121,10,5
2025-01-04 11:00:00,111,11,5
2025-01-04 12:00:00,160,12,5
2025-01-04 13:00:00,175,13,5
2025-01-04 14:00:00,239,14,5
2025-01-04 15:00:00,227,15,5
2025-01-04 16:00:00,277,16,5
2025-01-04 17:00:00,236,17,5
2025-01-04 18:00:00,185,18,5
2025-01-04 19:00:00,237,19,5
2025-01-04 20:00:00,208,20,5
2025-01-04 21:00:00,156,21,5
2025-01-04 22:00:00,140,22,5
2025-01-04 23:00:00,105,23,5
2025-01-05 00:00:00,106,0,6
